config,n_seeds,parametros,epocas_promedio,val_pr_auc_media,val_pr_auc_desvio,test_pr_auc_media,test_pr_auc_desvio,test_roc_auc_media,test_f1_max_media,test_brier_media
sia_pca_mlp_mlp_d32_h4_l2_linear_pca16,6,148865,67.0,0.2278,0.0279,0.2008,0.0231,0.64,0.2862,0.1071
pac20_feat_intrinseco_features_d32_h4_l2_linear_sin-listingstatus,6,27617,38.3,0.1864,0.016,0.1619,0.0109,0.5812,0.2493,0.1079
pac20_hybrid_intrinseco_hybrid_d32_h4_l2_linear_stripstatus_sin-listingstatus,6,38369,38.2,0.1846,0.0166,0.1599,0.0173,0.593,0.259,0.1077
feat_intrinseco_features_d32_h4_l2_linear_sin-listingstatus,6,27617,19.5,0.1851,0.0142,0.1591,0.0136,0.5797,0.2496,0.1077
tl_mlm_probe_features_d32_h4_l2_linear_mlm20_do0_frz,6,28289,201.7,0.1869,0.0122,0.1566,0.0157,0.5657,0.2477,0.1081
hybrid_intrinseco_hybrid_d32_h4_l2_linear_stripstatus_sin-listingstatus,6,38369,22.8,0.1765,0.0226,0.1502,0.0136,0.5685,0.2482,0.1088
text_intrinseco_text_d32_h4_l2_linear_stripstatus,6,35713,16.3,0.1548,0.0074,0.1421,0.0128,0.5361,0.2326,0.1085
pac20_text_intrinseco_text_d32_h4_l2_linear_stripstatus,6,35713,31.0,0.1581,0.0057,0.141,0.0127,0.5333,0.2326,0.1085
tl_mlm_probe_ord_features_d32_h4_l2_linear_catordinal_mlm20_do0_frz,6,26177,95.7,0.1685,0.0189,0.1376,0.0172,0.5317,0.2327,0.1087
bert_solo_intr_mlp_d32_h4_l2_linear_temb-minilmintr_sin-all,6,3187073,33.0,0.1468,0.0158,0.1283,0.0082,0.5076,0.2246,0.1093
feat_causal_features_d32_h4_l2_linear_causal,6,28289,9.0,0.1323,0.0068,0.1237,0.0061,0.4996,0.2201,0.1169
pac20_feat_causal_features_d32_h4_l2_linear_causal,6,28289,21.0,0.1323,0.0068,0.1237,0.0061,0.4996,0.2201,0.1169
